timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2022-09-04T00:00:00.000Z";"2022-09-04T23:59:59.999Z";"2022-09-04T23:43:00.000Z";"2022-09-04T08:04:00.000Z";"2783";102582.4661527545;103448.3946890122;101570.451886403;103381.2773333674;130582957099.92407;1978858036644.4817;"2022-09-04T23:59:59.999Z"
"2022-09-03T00:00:00.000Z";"2022-09-03T23:59:59.999Z";"2022-09-03T00:46:00.000Z";"2022-09-03T19:19:00.000Z";"2783";103292.369663512;103640.4357293369;101888.7573145843;102580.4821756188;122137328009.1755;1963438436507.0188;"2022-09-03T23:59:59.999Z"
"2022-09-02T00:00:00.000Z";"2022-09-02T23:59:59.999Z";"2022-09-02T14:44:00.000Z";"2022-09-02T18:16:00.000Z";"2783";105498.8810362826;105851.4935084905;102727.6731043494;103292.6429268557;152665119102.32642;2003522356669.3452;"2022-09-02T23:59:59.999Z"
"2022-09-01T00:00:00.000Z";"2022-09-01T23:59:59.999Z";"2022-09-01T02:28:00.000Z";"2022-09-01T16:42:00.000Z";"2783";103927.7497553899;105509.7500162228;102550.476624758;105509.7500162228;156442521333.40524;1996650211616.8018;"2022-09-01T23:59:59.999Z"
"2022-08-31T00:00:00.000Z";"2022-08-31T23:59:59.999Z";"2022-08-31T04:07:00.000Z";"2022-08-31T00:00:00.000Z";"2783";101441.174913306;104628.9865168077;101441.174913306;103923.9375394736;170226158096.7153;1965900338098.1365;"2022-08-31T23:59:59.999Z"
"2022-08-30T00:00:00.000Z";"2022-08-30T23:59:59.999Z";"2022-08-30T07:36:00.000Z";"2022-08-30T17:24:00.000Z";"2783";102075.6102722559;103313.070081352;100075.4717784585;101428.9529732483;173406439370.60217;1905125987763.509;"2022-08-30T23:59:59.999Z"
"2022-08-29T00:00:00.000Z";"2022-08-29T23:59:59.999Z";"2022-08-29T16:07:00.000Z";"2022-08-29T00:22:00.000Z";"2783";99268.3681387623;102379.7183473798;99256.415337853;102072.5256225682;165173651916.52783;1965726258409.1824;"2022-08-29T23:59:59.999Z"
"2022-08-28T00:00:00.000Z";"2022-08-28T23:59:59.999Z";"2022-08-28T16:28:00.000Z";"2022-08-28T23:59:00.000Z";"2783";101470.2242596999;101966.5086867809;99339.5510812228;99339.5510812228;123372159139.02309;1900531225293.7122;"2022-08-28T23:59:59.999Z"
"2022-08-27T00:00:00.000Z";"2022-08-27T23:59:59.999Z";"2022-08-27T00:37:00.000Z";"2022-08-27T16:29:00.000Z";"2783";102609.8081694279;103006.292613683;100708.1661452997;101473.7869216466;152512023085.33084;1941946543626.66;"2022-08-27T23:59:59.999Z"
"2022-08-26T00:00:00.000Z";"2022-08-26T23:59:59.999Z";"2022-08-26T13:07:00.000Z";"2022-08-26T23:50:00.000Z";"2783";110362.4747829799;110786.3766075487;102290.7898405281;102597.3422412442;216302592706.6595;1980937236784.2864;"2022-08-26T23:59:59.999Z"
"2022-08-25T00:00:00.000Z";"2022-08-25T23:59:59.999Z";"2022-08-25T08:13:00.000Z";"2022-08-25T00:17:00.000Z";"2783";109360.7460145879;111371.6493799957;109196.2547441497;110386.4791192248;158599992871.6564;2112377165517.179;"2022-08-25T23:59:59.999Z"
"2022-08-24T00:00:00.000Z";"2022-08-24T23:59:59.999Z";"2022-08-24T19:42:00.000Z";"2022-08-24T03:16:00.000Z";"2783";109892.5558027015;111291.9121750831;108202.6286781864;109347.8080833932;163167303443.74228;2089519964470.7517;"2022-08-24T23:59:59.999Z"
"2022-08-23T00:00:00.000Z";"2022-08-23T23:59:59.999Z";"2022-08-23T14:13:00.000Z";"2022-08-23T06:14:00.000Z";"2783";110378.0331473815;110378.0331473815;108076.1250399939;109900.8860324468;164415420327.36996;2124071103811.7312;"2022-08-23T23:59:59.999Z"
"2022-08-22T00:00:00.000Z";"2022-08-22T23:59:59.999Z";"2022-08-22T00:00:00.000Z";"2022-08-22T08:34:00.000Z";"2783";111305.287506617;111305.287506617;108268.1456834033;110367.0097075127;163697590339.90268;2116052962019.3694;"2022-08-22T23:59:59.999Z"
"2022-08-21T00:00:00.000Z";"2022-08-21T23:59:59.999Z";"2022-08-21T21:25:00.000Z";"2022-08-21T06:58:00.000Z";"2783";109348.9959165569;112015.4737566101;109053.4285103388;111319.0246436014;119384086050.35951;2128579635946.386;"2022-08-21T23:59:59.999Z"
"2022-08-20T00:00:00.000Z";"2022-08-20T23:59:59.999Z";"2022-08-20T07:43:00.000Z";"2022-08-20T21:03:00.000Z";"2783";107910.5067527833;110381.5334860518;107779.7871247551;109378.2840204843;142666859505.01752;2093024329483.1772;"2022-08-20T23:59:59.999Z"
"2022-08-19T00:00:00.000Z";"2022-08-19T23:59:59.999Z";"2022-08-19T00:00:00.000Z";"2022-08-19T23:56:00.000Z";"2783";119975.7113711966;119975.7113711966;107889.8543730181;107934.8648334032;209369910176.25452;2063790643862.285;"2022-08-19T23:59:59.999Z"
"2022-08-18T00:00:00.000Z";"2022-08-18T23:59:59.999Z";"2022-08-18T13:02:00.000Z";"2022-08-18T23:26:00.000Z";"2783";120591.4778798928;121440.9188846098;119793.4383660325;119968.0780979743;122692043324.69992;2293653498308.723;"2022-08-18T23:59:59.999Z"
"2022-08-17T00:00:00.000Z";"2022-08-17T23:59:59.999Z";"2022-08-17T07:01:00.000Z";"2022-08-17T20:07:00.000Z";"2783";122881.3328501476;125588.9571647884;120095.9254351844;120563.1012160006;159158697469.58887;2296352730768.304;"2022-08-17T23:59:59.999Z"
"2022-08-16T00:00:00.000Z";"2022-08-16T23:59:59.999Z";"2022-08-16T01:35:00.000Z";"2022-08-16T15:07:00.000Z";"2783";122980.568106293;123487.3886888181;122215.2275942767;122893.8598372776;141471637210.1384;2328139301718.8267;"2022-08-16T23:59:59.999Z"
"2022-08-15T00:00:00.000Z";"2022-08-15T23:59:59.999Z";"2022-08-15T03:19:00.000Z";"2022-08-15T23:18:00.000Z";"2783";123449.4967180969;127570.6619371689;121518.4849805964;123033.389540241;178300943952.71896;2343063201446.524;"2022-08-15T23:59:59.999Z"
"2022-08-14T00:00:00.000Z";"2022-08-14T23:59:59.999Z";"2022-08-14T07:51:00.000Z";"2022-08-14T18:05:00.000Z";"2783";124011.667173601;126782.6544898028;122880.6571085842;123454.6667246866;116727419579.71896;2360649891060.1006;"2022-08-14T23:59:59.999Z"
"2022-08-13T00:00:00.000Z";"2022-08-13T23:59:59.999Z";"2022-08-13T06:21:00.000Z";"2022-08-13T12:37:00.000Z";"2783";123875.2644758453;126199.5596383343;123590.6167276581;123986.3379380535;116692964700.61676;2370715614705.5264;"2022-08-13T23:59:59.999Z"
"2022-08-12T00:00:00.000Z";"2022-08-12T23:59:59.999Z";"2022-08-12T23:40:00.000Z";"2022-08-12T11:40:00.000Z";"2783";123583.2319877499;123927.9505784437;122054.9288845673;123878.4678626189;140650653481.70547;2406846943445.8994;"2022-08-12T23:59:59.999Z"
"2022-08-11T00:00:00.000Z";"2022-08-11T23:59:59.999Z";"2022-08-11T14:18:00.000Z";"2022-08-11T23:11:00.000Z";"2783";122021.6131873369;126270.2349325019;122021.6131873369;123601.6897782684;189169676782.92096;2333821251004.99;"2022-08-11T23:59:59.999Z"
"2022-08-10T00:00:00.000Z";"2022-08-10T23:59:59.999Z";"2022-08-10T13:31:00.000Z";"2022-08-10T00:50:00.000Z";"2783";118709.8566032995;122091.9551697463;116710.8966355341;122022.8223095276;168291837572.94565;2346397861852.315;"2022-08-10T23:59:59.999Z"
"2022-08-09T00:00:00.000Z";"2022-08-09T23:59:59.999Z";"2022-08-09T05:39:00.000Z";"2022-08-09T14:10:00.000Z";"2783";121714.7791689721;122141.043430666;117851.6956276058;118719.4229471733;120407414359.12762;2263596216550.661;"2022-08-09T23:59:59.999Z"
"2022-08-08T00:00:00.000Z";"2022-08-08T23:59:59.999Z";"2022-08-08T12:14:00.000Z";"2022-08-08T00:04:00.000Z";"2783";119722.2572131768;125036.2566798477;119706.8665632017;121706.9552832889;147592689137.2886;2350842191661.4023;"2022-08-08T23:59:59.999Z"
